Game_Id,Round,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Hsh,Ash,HT,AT,HF,AF,HC,AC,HY,AY,HR,AR,GameDate,Attendance,Referee_Id,HomeTeam,AwayTeam
,27,3,1,H,0,0,D,11,16,5,4,14,15,8,7,1,1,0,0,10/2/2018,,8,9,12
,27,5,1,H,1,1,D,19,2,11,2,10,12,8,2,2,3,0,0,10/2/2018,,14,3,10
,27,1,1,D,0,1,A,15,14,3,6,6,10,7,4,0,0,0,0,10/2/2018,,19,20,16
,27,1,0,H,0,0,D,12,13,4,1,10,9,5,2,2,1,0,0,10/2/2018,,2,19,8
,27,1,0,H,0,0,D,18,6,6,1,13,9,10,2,2,1,0,0,10/2/2018,,3,6,2
,27,2,0,H,1,0,H,8,11,4,4,11,7,8,7,1,1,0,0,10/2/2018,,7,14,15
,27,4,1,H,2,1,H,15,7,4,2,12,12,2,6,0,3,0,0,11/2/2018,,15,18,13
,27,1,0,H,0,0,D,10,13,3,6,12,15,0,10,0,2,0,0,11/2/2018,,5,11,4
,27,0,2,A,0,2,A,6,16,4,4,5,8,3,1,1,2,0,0,11/2/2018,,12,17,5
,27,3,0,H,1,0,H,20,8,8,1,11,11,8,7,0,2,0,0,12/2/2018,,10,7,21
,28,2,2,D,0,2,A,18,15,5,4,12,10,8,1,1,4,0,0,24/02/18,,18,13,11
,28,4,1,H,1,0,H,16,11,5,1,17,6,3,5,1,0,0,0,24/02/18,,13,16,19
,28,1,1,D,0,0,D,9,13,3,6,8,14,7,5,1,0,0,0,24/02/18,,19,8,17
,28,1,1,D,0,1,A,19,6,9,2,10,16,13,1,1,3,0,0,24/02/18,,15,10,20
,28,4,1,H,1,0,H,21,7,12,4,7,7,8,2,0,2,0,0,24/02/18,,20,5,14
,28,1,0,H,0,0,D,13,7,5,2,10,9,6,5,3,1,0,0,24/02/18,,3,15,9
,28,1,2,A,0,0,D,10,16,3,7,11,9,6,3,1,1,0,0,24/02/18,,8,21,18
,28,0,1,A,0,0,D,5,14,3,4,12,5,2,13,0,1,0,0,25/02/18,,9,12,6
,28,2,1,H,1,1,D,10,14,5,7,13,12,3,4,2,2,0,0,25/02/18,,12,4,7
,28,0,3,A,0,3,A,10,9,5,5,11,11,6,1,1,1,0,0,1/3/2018,,2,2,3
,29,2,1,H,0,1,A,21,10,8,4,9,12,10,4,1,1,0,1,3/3/2018,,4,8,9
,29,1,1,D,0,1,A,23,8,4,3,11,7,13,1,2,1,0,0,3/3/2018,,11,10,13
,29,2,0,H,1,0,H,14,7,3,2,7,9,8,3,0,0,0,0,3/3/2018,,7,5,11
,29,0,0,D,0,0,D,18,12,6,3,8,13,15,4,0,1,0,0,3/3/2018,,3,17,20
,29,4,1,H,2,0,H,9,7,8,2,9,14,4,5,0,3,0,0,3/3/2018,,12,19,14
,29,2,0,H,1,0,H,15,3,7,3,6,8,8,1,1,1,0,0,3/3/2018,,9,6,18
,29,1,0,H,0,0,D,15,9,4,2,11,12,4,6,2,0,0,0,3/3/2018,,17,15,21
,29,2,1,H,2,1,H,13,15,6,7,13,12,6,11,3,3,0,0,4/3/2018,,20,16,2
,29,1,0,H,0,0,D,13,3,3,0,8,9,5,2,2,1,0,0,4/3/2018,,15,3,7
,29,2,3,A,1,0,H,10,17,4,8,10,8,3,7,1,3,0,0,5/3/2018,,16,12,4
,30,2,1,H,2,0,H,27,9,11,2,8,9,12,3,1,2,0,0,10/3/2018,,3,7,12
,30,2,0,H,0,0,D,13,10,3,4,10,14,10,3,0,1,0,1,10/3/2018,,18,9,16
,30,0,0,D,0,0,D,30,0,4,0,9,9,12,0,2,3,0,1,10/3/2018,,15,18,19
,30,2,1,H,2,0,H,5,14,2,2,10,16,1,13,2,1,0,0,10/3/2018,,5,4,5
,30,3,0,H,2,0,H,7,6,5,2,10,10,2,6,0,2,0,0,10/3/2018,,2,11,17
,30,1,4,A,1,1,D,6,14,2,6,6,7,7,6,1,3,0,0,10/3/2018,,19,21,10
,30,0,3,A,0,0,D,13,7,4,4,13,7,5,1,2,2,0,0,10/3/2018,,10,14,8
,30,3,0,H,1,0,H,11,11,7,4,12,9,4,9,2,1,0,0,11/3/2018,,12,2,15
,30,1,4,A,1,1,D,14,12,3,8,10,7,4,5,1,1,0,0,11/3/2018,,13,13,6
,30,0,2,A,0,1,A,3,17,0,6,6,8,3,10,1,0,0,0,12/3/2018,,8,20,3
,31,2,1,H,0,0,D,17,11,5,6,6,9,3,2,1,2,0,0,17/03/18,,7,13,21
,31,0,2,A,0,1,A,6,17,2,6,11,12,4,7,3,2,0,0,17/03/18,,13,18,12
,31,5,0,H,2,0,H,13,4,10,1,5,4,6,1,1,0,0,0,17/03/18,,3,5,15
,31,1,2,A,0,0,D,9,17,4,9,13,12,1,9,1,1,1,0,17/03/18,,12,20,9
,32,0,2,A,0,0,D,15,6,3,4,11,13,6,1,2,4,0,1,31/03/18,,4,16,10
,32,1,2,A,1,0,H,6,16,3,6,6,8,4,6,2,2,0,0,31/03/18,,16,12,5
,32,1,3,A,0,3,A,6,18,2,4,10,8,2,11,0,0,0,0,31/03/18,,17,9,3
,32,2,0,H,2,0,H,11,3,5,2,5,13,3,3,0,0,0,0,31/03/18,,19,4,19
,32,1,0,H,0,0,D,18,4,3,0,9,10,3,3,1,4,0,0,31/03/18,,12,11,18
,32,2,2,D,1,1,D,16,13,5,6,16,6,7,4,4,0,0,0,31/03/18,,2,15,13
,32,1,2,A,0,1,A,8,11,3,4,12,9,1,6,1,3,0,0,31/03/18,,11,21,8
,32,3,0,H,3,0,H,13,9,5,0,9,16,5,9,0,3,0,0,31/03/18,,8,14,17
,32,3,0,H,0,0,D,24,8,11,2,9,13,6,5,1,2,0,0,1/4/2018,,5,2,20
,32,1,3,A,1,1,D,14,12,4,7,4,11,5,5,0,1,0,0,1/4/2018,,2,7,6
,33,2,2,D,0,0,D,20,13,5,6,8,9,11,3,2,2,0,0,7/4/2018,,8,13,12
,33,1,1,D,1,1,D,13,14,4,5,13,7,5,3,1,0,1,0,7/4/2018,,3,16,18
,33,0,0,D,0,0,D,6,10,1,3,12,7,3,2,0,0,0,0,7/4/2018,,15,9,5
,33,1,2,A,0,1,A,8,8,1,4,7,14,7,5,1,3,0,0,7/4/2018,,20,10,11
,33,2,3,A,2,0,H,20,5,6,4,17,9,8,4,6,3,0,0,7/4/2018,,12,3,4
,33,1,2,A,0,0,D,10,15,4,4,19,8,6,3,4,3,0,0,7/4/2018,,7,20,6
,33,1,2,A,0,0,D,14,7,5,4,18,12,11,1,2,2,0,0,7/4/2018,,17,15,8
,33,1,1,D,0,0,D,15,7,3,1,15,5,5,1,3,2,0,0,7/4/2018,,18,21,19
,33,3,2,H,2,1,H,13,15,7,8,11,7,8,6,2,1,1,1,8/4/2018,,2,2,17
,33,1,1,D,1,0,H,23,5,6,2,7,11,10,6,0,1,0,0,8/4/2018,,9,7,14
,34,2,1,H,2,0,H,8,15,3,6,9,10,4,8,2,1,0,0,14/04/18,,12,8,10
,34,3,2,H,3,2,H,15,12,8,3,12,16,5,6,3,2,0,0,14/04/18,,2,12,16
,34,1,0,H,0,0,D,9,4,1,2,9,8,9,6,2,2,0,0,14/04/18,,5,18,15
,34,3,0,H,1,0,H,20,6,7,1,9,9,7,5,1,1,0,0,14/04/18,,4,5,13
,34,2,3,A,1,0,H,10,17,7,5,13,14,4,7,5,3,0,0,14/04/18,,13,17,7
,34,1,1,D,0,1,A,17,12,7,3,10,11,6,3,1,1,0,0,14/04/18,,10,19,9
,34,1,3,A,1,2,A,8,17,3,6,11,12,5,7,3,4,0,0,14/04/18,,8,6,3
,34,0,1,A,0,0,D,14,10,4,4,8,13,4,4,1,1,0,0,15/04/18,,17,4,21
,34,2,1,H,1,1,D,8,15,4,3,11,9,2,5,1,0,0,0,15/04/18,,3,11,2
,34,1,1,D,0,0,D,18,11,6,7,15,21,10,1,2,3,0,0,16/04/18,,15,14,20
,35,1,1,D,0,0,D,8,16,5,6,6,5,3,4,1,0,0,0,17/04/18,,9,16,6
,35,0,2,A,0,1,A,13,13,2,4,9,8,8,5,3,1,0,0,18/04/18,,7,13,4
,31,1,2,A,0,1,A,5,16,2,5,9,11,3,2,1,0,0,0,19/04/18,,19,8,7
,35,0,0,D,0,0,D,11,6,3,2,10,10,11,3,0,0,0,0,19/04/18,,18,10,17
,35,0,0,D,0,0,D,14,6,4,1,17,13,4,3,3,5,0,0,21/04/18,,4,15,12
,35,2,2,D,0,1,A,13,9,6,3,12,5,7,4,0,1,0,0,21/04/18,,20,21,5
,35,4,1,H,0,0,D,20,11,8,4,11,9,8,6,3,2,0,0,22/04/18,,10,2,14
,35,5,0,H,2,0,H,19,4,12,1,6,8,5,1,0,1,0,0,22/04/18,,5,3,19
,35,1,1,D,1,0,H,8,16,3,7,15,5,3,8,2,1,0,0,22/04/18,,13,20,8
,35,1,0,H,0,0,D,9,9,1,2,10,11,4,6,2,1,0,0,23/04/18,,19,9,11
,36,0,0,D,0,0,D,10,9,4,1,5,17,3,4,0,2,0,0,28/04/18,,18,8,16
,36,5,0,H,2,0,H,15,6,9,1,11,9,8,2,1,1,0,1,28/04/18,,13,12,10
,36,0,2,A,0,1,A,9,7,2,5,9,8,4,3,1,0,0,0,28/04/18,,11,18,9
,36,0,0,D,0,0,D,20,5,2,1,7,14,9,2,1,2,0,0,28/04/18,,2,5,20
,36,0,1,A,0,1,A,17,9,2,2,8,13,5,1,1,3,0,0,28/04/18,,2,11,21
,36,2,1,H,1,1,D,14,14,6,7,12,11,5,8,5,1,0,0,28/04/18,,3,17,13
,36,0,1,A,0,1,A,10,11,3,3,13,9,1,2,1,1,0,0,28/04/18,,8,19,7
,36,2,1,H,1,0,H,17,8,3,3,12,7,9,0,0,1,0,0,29/04/18,,9,4,2
,36,1,4,A,1,2,A,4,19,1,7,5,11,0,7,0,1,0,0,29/04/18,,16,14,3
,36,2,0,H,1,0,H,13,13,3,5,11,10,4,0,1,0,0,0,30/04/18,,15,6,15
,37,1,0,H,0,0,D,11,16,4,3,5,3,5,6,2,0,0,0,4/5/2018,,5,16,4
,37,1,0,H,1,0,H,13,12,5,3,10,10,11,6,1,4,0,0,5/5/2018,,9,13,19
,37,1,1,D,0,0,D,9,11,3,5,14,12,3,4,2,4,0,1,5/5/2018,,8,9,17
,37,0,2,A,0,1,A,13,13,2,3,8,9,8,3,1,2,0,0,5/5/2018,,4,10,14
,37,1,2,A,1,0,H,7,13,2,2,18,12,1,7,5,2,0,0,5/5/2018,,12,20,12
,37,2,1,H,2,0,H,11,9,8,1,9,11,2,5,2,1,0,0,5/5/2018,,18,15,11
,37,1,0,H,0,0,D,9,18,1,5,13,12,5,9,4,1,0,0,5/5/2018,,14,21,6
,37,5,0,H,2,0,H,16,6,8,2,6,7,4,5,0,1,0,0,6/5/2018,,2,2,8
,37,1,0,H,1,0,H,12,10,4,5,12,9,3,1,3,2,0,0,6/5/2018,,3,7,5
,37,0,0,D,0,0,D,15,5,2,3,9,4,10,1,0,3,0,0,6/5/2018,,13,3,18
,31,0,1,A,0,0,D,11,13,3,8,7,15,7,6,2,1,0,0,8/5/2018,,15,19,17
,35,1,1,D,0,0,D,22,3,5,2,7,10,9,0,0,1,0,0,9/5/2018,,10,7,18
,31,3,1,H,1,0,H,19,14,10,7,7,12,6,6,2,2,0,1,9/5/2018,,7,10,2
,31,3,1,H,2,1,H,19,6,7,3,5,7,4,3,0,1,0,0,9/5/2018,,17,3,16
,31,1,0,H,0,0,D,11,14,7,3,10,8,6,4,2,3,0,0,9/5/2018,,16,6,11
,31,0,0,D,0,0,D,9,16,2,6,12,12,1,6,1,1,0,0,10/5/2018,,8,14,4
